OrderID,OrderDate,CustomerID,CustomerSegment,Product,Category,Region,Quantity,UnitPrice,UnitCost,Revenue,Profit
1001,2024-01-01,CUST0075,SMB,Whiteboard,Stationery,South,1,84.42,41.19,84.42,43.23
1002,2024-01-01,CUST0007,Retail,Notebook Pack,Stationery,North,4,13.16,3.92,52.64,36.96
1003,2024-01-01,CUST0050,SMB,Pen Set,Stationery,East,1,10.49,3.01,10.49,7.48
1004,2024-01-02,CUST0069,SMB,Pen Set,Stationery,North,3,10.2,2.97,30.6,21.69
1005,2024-01-03,CUST0034,Retail,Desk Lamp,Furniture,South,5,66.24,25.01,331.2,206.15
1006,2024-01-03,CUST0065,Retail,Wireless Mouse,Electronics,East,2,31.96,12.19,63.92,39.54
1007,2024-01-03,CUST0068,Enterprise,Notebook Pack,Stationery,East,4,13.97,4.0,55.88,39.88
1008,2024-01-04,CUST0040,SMB,Keyboard,Electronics,West,1,103.69,45.18,103.69,58.51
1009,2024-01-05,CUST0009,SMB,Wireless Mouse,Electronics,South,5,33.63,11.73,168.15,109.5
1010,2024-01-06,CUST0068,Enterprise,Headset,Electronics,North,4,125.78,54.05,503.12,286.92
1011,2024-01-06,CUST0026,SMB,Notebook Pack,Stationery,East,3,13.61,4.04,40.83,28.71
1012,2024-01-06,CUST0058,Retail,Standing Desk,Furniture,West,1,616.04,297.09,616.04,318.95
1013,2024-01-06,CUST0029,Retail,Notebook Pack,Stationery,North,1,14.17,3.89,14.17,10.28
1014,2024-01-07,CUST0010,Enterprise,Keyboard,Electronics,West,2,104.23,44.96,208.46,118.54
1015,2024-01-08,CUST0074,SMB,Pen Set,Stationery,West,2,10.22,3.06,20.44,14.32
1016,2024-01-08,CUST0056,SMB,Wireless Mouse,Electronics,North,1,33.1,12.26,33.1,20.84
1017,2024-01-09,CUST0013,Enterprise,Pen Set,Stationery,West,1,10.15,3.05,10.15,7.1
1018,2024-01-10,CUST0058,Retail,USB-C Hub,Electronics,North,1,46.25,17.96,46.25,28.29
1019,2024-01-11,CUST0071,Enterprise,Desk Lamp,Furniture,West,1,65.31,25.06,65.31,40.25
1020,2024-01-12,CUST0031,Retail,Headset,Electronics,West,1,126.82,54.06,126.82,72.76
