CustomerID,Gender,Age,Tenure,ContractType,PaymentMethod,InternetService,MonthlyCharges,TotalCharges,NumServices,TechSupport,OnlineBackup,Churn
CUST0001,Female,35,68,One Year,Credit Card,Fiber Optic,81.86,5319.47,3,Yes,Yes,No
CUST0002,Male,46,48,Month-to-Month,Mailed Check,Fiber Optic,101.85,4545.11,5,No,No,No
CUST0003,Male,19,8,Two Year,Electronic Check,Fiber Optic,109.53,854.42,3,Yes,No,No
CUST0004,Female,57,72,Month-to-Month,Electronic Check,Fiber Optic,72.7,5370.71,3,No,No,Yes
CUST0005,Female,52,4,One Year,Credit Card,Fiber Optic,100.43,383.24,2,No,No,Yes
CUST0006,Male,39,47,Month-to-Month,Electronic Check,DSL,42.18,1922.03,3,Yes,Yes,Yes
CUST0007,Female,20,50,Month-to-Month,Electronic Check,DSL,43.83,2038.4,2,Yes,No,Yes
CUST0008,Female,56,7,One Year,Bank Transfer,Fiber Optic,85.5,604.85,3,Yes,Yes,No
CUST0009,Female,29,25,One Year,Credit Card,DSL,72.91,1893.85,2,Yes,Yes,No
CUST0010,Male,33,15,Two Year,Mailed Check,DSL,35.96,518.86,5,No,Yes,No
CUST0011,Female,49,46,Month-to-Month,Mailed Check,No Internet,24.05,1059.69,0,No,No,No
CUST0012,Female,63,28,One Year,Bank Transfer,Fiber Optic,65.17,1685.25,4,No,No,No
CUST0013,Male,45,61,Two Year,Electronic Check,DSL,71.8,4577.15,0,No,No,No
CUST0014,Female,68,26,One Year,Bank Transfer,Fiber Optic,98.11,2533.6,0,Yes,Yes,No
CUST0015,Male,44,69,Month-to-Month,Mailed Check,DSL,63.41,4132.73,2,No,Yes,Yes
CUST0016,Female,55,32,Month-to-Month,Bank Transfer,Fiber Optic,79.96,2582.39,5,No,No,No
CUST0017,Female,41,23,Month-to-Month,Bank Transfer,Fiber Optic,73.07,1691.97,2,No,Yes,No
CUST0018,Male,32,1,Two Year,Bank Transfer,No Internet,37.21,35.67,4,Yes,No,No
CUST0019,Female,42,65,Two Year,Credit Card,DSL,69.19,4623.8,1,No,No,No
CUST0020,Female,60,7,Two Year,Electronic Check,DSL,49.01,348.28,2,No,No,No
CUST0021,Male,26,62,Month-to-Month,Bank Transfer,Fiber Optic,67.07,4260.09,2,No,No,Yes
CUST0022,Female,27,17,Month-to-Month,Credit Card,DSL,66.84,1101.28,3,No,No,Yes
CUST0023,Female,49,50,Two Year,Mailed Check,Fiber Optic,100.5,5168.95,0,No,Yes,No
CUST0024,Female,65,40,One Year,Mailed Check,Fiber Optic,104.27,4243.25,0,No,Yes,Yes
CUST0025,Male,30,21,Month-to-Month,Mailed Check,No Internet,44.54,954.57,4,Yes,Yes,No
CUST0026,Female,52,26,Month-to-Month,Bank Transfer,DSL,67.03,1717.83,5,No,No,No
CUST0027,Female,72,54,Two Year,Credit Card,No Internet,20.51,1041.26,2,Yes,No,No
CUST0028,Female,66,10,Two Year,Credit Card,Fiber Optic,69.87,650.46,0,Yes,Yes,Yes
CUST0029,Male,55,30,One Year,Mailed Check,DSL,53.44,1545.12,5,No,Yes,No
CUST0030,Female,21,47,Month-to-Month,Credit Card,DSL,40.47,1818.62,1,Yes,Yes,No
CUST0031,Female,70,52,One Year,Bank Transfer,Fiber Optic,103.81,5660.7,3,No,Yes,No
CUST0032,Female,22,30,Month-to-Month,Credit Card,DSL,68.54,2069.79,3,No,No,Yes
CUST0033,Male,25,64,Month-to-Month,Bank Transfer,DSL,58.09,3603.22,2,No,No,No
CUST0034,Female,50,59,Month-to-Month,Electronic Check,No Internet,43.51,2568.81,4,No,Yes,Yes
CUST0035,Female,60,51,Month-to-Month,Bank Transfer,DSL,68.4,3447.63,2,Yes,No,No
CUST0036,Female,28,57,Month-to-Month,Credit Card,DSL,42.51,2315.52,0,Yes,Yes,No
CUST0037,Female,47,17,Two Year,Bank Transfer,DSL,49.38,850.34,1,Yes,No,No
CUST0038,Female,40,52,Month-to-Month,Credit Card,No Internet,39.75,2006.51,2,No,Yes,No
CUST0039,Female,54,41,Month-to-Month,Bank Transfer,No Internet,23.55,945.17,4,No,Yes,Yes
CUST0040,Male,67,71,Month-to-Month,Bank Transfer,DSL,72.32,4821.47,1,No,No,No
CUST0041,Female,68,25,Month-to-Month,Credit Card,No Internet,22.71,539.97,0,No,Yes,No
CUST0042,Male,71,8,Month-to-Month,Credit Card,DSL,49.37,383.91,0,No,No,Yes
CUST0043,Female,44,19,Month-to-Month,Electronic Check,DSL,59.9,1193.59,1,No,No,Yes
CUST0044,Female,51,11,One Year,Electronic Check,No Internet,36.25,385.68,2,No,Yes,No
CUST0045,Male,25,19,Month-to-Month,Credit Card,DSL,55.14,986.68,4,No,Yes,No
CUST0046,Male,60,19,Month-to-Month,Electronic Check,DSL,65.06,1269.66,0,No,No,No
CUST0047,Female,31,22,Two Year,Mailed Check,Fiber Optic,78.17,1719.21,2,No,No,No
CUST0048,Female,52,68,One Year,Electronic Check,Fiber Optic,93.06,6281.93,1,Yes,No,Yes
CUST0049,Male,25,12,Two Year,Credit Card,Fiber Optic,84.39,1039.51,5,No,No,No
CUST0050,Female,32,48,Month-to-Month,Credit Card,No Internet,42.03,2029.22,3,Yes,Yes,No
CUST0051,Male,60,62,Month-to-Month,Mailed Check,Fiber Optic,74.11,4767.64,4,No,No,No
CUST0052,Male,55,22,One Year,Electronic Check,No Internet,22.87,505.41,1,Yes,No,No
CUST0053,Female,48,58,One Year,Bank Transfer,Fiber Optic,74.02,4487.09,4,Yes,Yes,No
CUST0054,Male,64,42,One Year,Electronic Check,Fiber Optic,86.23,3732.97,5,Yes,Yes,No
CUST0055,Female,56,72,One Year,Credit Card,No Internet,32.39,2421.15,1,No,Yes,No
CUST0056,Female,34,11,Month-to-Month,Bank Transfer,No Internet,33.62,367.84,0,No,Yes,Yes
CUST0057,Male,30,56,One Year,Electronic Check,DSL,61.89,3196.93,0,Yes,No,Yes
