Month,Year,MonthNum,Revenue,COGS,GrossProfit,OperatingExpenses,NetProfit,NewCustomers,ActiveCustomers,ChurnedCustomers,MarketingSpend,SupportTickets
2022-01,2022,1,233720.61,93384.09,140336.52,54791.03,85545.49,25,427,12,15383.22,120
2022-02,2022,2,240300.8,91349.28,148951.52,56902.37,92049.15,49,421,17,16175.84,81
2022-03,2022,3,254420.82,105090.88,149329.94,59946.95,89382.99,48,425,11,15996.79,65
2022-04,2022,4,257815.26,111909.64,145905.62,65928.32,79977.3,52,421,11,23132.56,51
2022-05,2022,5,262266.94,106919.49,155347.45,58947.08,96400.37,52,428,19,22314.4,110
2022-06,2022,6,259184.78,103955.08,155229.7,65258.42,89971.28,43,458,12,17823.2,100
2022-07,2022,7,244960.69,95118.38,149842.31,65706.14,84136.17,18,425,20,20894.86,135
2022-08,2022,8,260958.35,114654.15,146304.2,59256.82,87047.38,50,469,6,22449.22,128
2022-09,2022,9,274118.04,106589.32,167528.72,69042.25,98486.47,19,463,18,22758.19,47
2022-10,2022,10,290639.96,112996.78,177643.18,78391.73,99251.45,19,437,7,25187.52,99
2022-11,2022,11,322737.14,130197.17,192539.97,80217.63,112322.34,26,450,11,29329.43,51
2022-12,2022,12,312717.51,121631.3,191086.21,69745.78,121340.43,32,490,18,24886.31,74
2023-01,2023,1,263287.21,114035.5,149251.71,65370.93,83880.78,44,490,14,20575.77,64
2023-02,2023,2,263478.33,107812.87,155665.46,58528.84,97136.62,27,486,8,21187.82,126
2023-03,2023,3,289430.17,117366.79,172063.38,65558.6,106504.78,42,504,20,23531.01,138
2023-04,2023,4,288768.39,124931.91,163836.48,74790.29,89046.19,34,496,15,20964.74,64
2023-05,2023,5,311504.12,136504.11,175000.01,82639.33,92360.68,48,518,17,30766.39,72
2023-06,2023,6,285186.25,121144.91,164041.34,72355.03,91686.31,37,500,8,18765.67,86
2023-07,2023,7,288134.71,121524.27,166610.44,67056.7,99553.74,55,519,5,27154.08,115
2023-08,2023,8,293205.02,123588.2,169616.82,66753.92,102862.9,28,511,17,18608.53,129
2023-09,2023,9,305916.4,122847.39,183069.01,79180.36,103888.65,18,512,9,24418.53,140
2023-10,2023,10,334984.47,144388.09,190596.38,75237.79,115358.59,18,501,17,30562.17,44
2023-11,2023,11,386167.51,161497.96,224669.55,91019.75,133649.8,34,514,7,23866.17,133
2023-12,2023,12,361445.52,152850.2,208595.32,83385.74,125209.58,48,525,15,28464.1,64
2024-01,2024,1,318876.1,129518.01,189358.09,80974.17,108383.92,53,584,8,21832.77,118
2024-02,2024,2,333917.19,139857.02,194060.17,86353.28,107706.89,39,589,11,26754.99,85
2024-03,2024,3,368143.99,144603.76,223540.23,88825.07,134715.16,32,589,9,34330.22,107
2024-04,2024,4,363837.35,144642.1,219195.25,90798.04,128397.21,24,589,13,26040.14,41
2024-05,2024,5,382816.06,158844.35,223971.71,94142.0,129829.71,51,609,17,36391.36,53
2024-06,2024,6,354211.09,151703.85,202507.24,89441.77,113065.47,48,609,10,26720.93,110
2024-07,2024,7,341049.17,144981.44,196067.73,75525.78,120541.95,37,610,19,29748.24,42
2024-08,2024,8,367524.67,148221.65,219303.02,100843.65,118459.37,41,603,16,27288.92,55
2024-09,2024,9,376295.89,163493.99,212801.9,86521.78,126280.12,49,629,15,27955.36,51
2024-10,2024,10,406101.96,170477.13,235624.83,108170.83,127454.0,26,609,18,35690.77,100
2024-11,2024,11,461693.26,189564.22,272129.04,113530.12,158598.92,30,633,20,29680.68,94
2024-12,2024,12,454526.46,175196.55,279329.91,101580.27,177749.64,40,641,13,34648.86,49
